"SiO2_apfu" "Al2O3_apfu" "Na2O_apfu" "MgO_apfu" "K2O_apfu" "MnO_apfu" "CaO_apfu" "TiO2_apfu" "FeO_apfu" "Cr2O3_apfu" "An" "Ab" "X" "Y"
2.11773471235326 1.84768620973128 0.158141345457457 0.00206012926071369 0.000587858540636773 0.000780607196616634 0.891668614457375 0.000346534884405407 0.0173412133177403 0.000728683130837345 85 15 6.2693 6.1502
2.13848386008719 1.82742629804908 0.162521660493366 0.00207040345414423 0.000590790285004213 0 0.878748928537266 0.00104478932754813 0.0174276967163038 0 84 16 6.311 6.223
2.18266955829373 1.77847411527802 0.19825990096559 0.00343204495283433 0.00117520214435907 0.000390132654350945 0.841433628778773 0.000346383110133368 0.0196447673692757 0.00109254597669542 81 19 6.3526 6.2958
2.0596117043304 1.90568787068443 0.0864067724527778 0.00207538588038782 0.00118442404383916 0 0.956963093993604 0 0.0194107071902661 0 92 8 6.3943 6.3686
2.07087985060904 1.89022079858941 0.0965515604081882 0.00208064423192712 0.000593712494205955 0 0.952406734865584 0 0.0198490853490901 0 91 9 6.561 6.6598
2.06403692064941 1.90075219472705 0.0909589446462372 0.00138437927009021 0 0 0.954024929118774 0 0.018256465497507 0.00110174693407535 91 9 6.6026 6.7326
2.11062907469888 1.85038857532738 0.127807380673598 0.00207534306205713 0.000592199803695283 0.000786371884805408 0.917153606106709 0.000349094001928008 0.0182456883151044 0 88 12 6.6443 6.8054
2.07143936106995 1.89154251809274 0.0927380273314149 0.00138404967396775 0.000592408522870271 0.000393324519695373 0.952802698521191 0.000349217039138796 0.0178637760007061 0 91 9 6.6859 6.8782
2.08309894236135 1.87729306606088 0.104655346766397 0.00208029889950909 0 0.000788249709878832 0.942277470145687 0.00104978287394501 0.0182892582998177 0 90 10 6.7276 6.951
2.0654479176846 1.8983928301763 0.0863984792185378 0.00138345779130626 0 0 0.958363248629794 0 0.0174679597532782 0.000734009055141371 92 8 6.7693 7.0238
2.04839352063399 1.91623671023592 0.0791673276816429 0.00138291141597567 0.000591921319449458 0 0.970910343567647 0 0.0166850138939595 0 92 8 6.8109 7.0966
2.38356872572955 1.57664292516208 0.395341256432953 0.00545039928858691 0.00233290975919134 0 0.637766693360385 0.000687609822640251 0.0244687654074683 0 62 38 5.6867 9.7506
2.07303432610181 1.88687647942346 0.0998388903107704 0.00138263585493117 0 0.000392922735204572 0.950338285544017 0.000348860310831194 0.0197852592986226 0.000733572967574508 90 10 5.6828 9.8311
2.07171338902621 1.888962597802 0.0957522606974707 0.00138859059552571 0 0 0.95493038506227 0.000700725567103836 0.0175327681038403 0 91 9 5.6789 9.9116
2.11744331689783 1.83861905793182 0.135485147681572 0.00281443367026753 0.000602324658095472 0 0.918163817480003 0 0.0181627919864948 0 87 13 5.675 9.9921
2.16326786253444 1.80090828741019 0.187618052822947 0.00206004941077917 0.000587835755432528 0.000390288470268848 0.850656408904111 0.000693042905653869 0.0235060669301767 0 82 18 5.6711 10.0726
2.14844015813948 1.82115171968506 0.17670068462195 0.00274368397087655 0.000587183321155745 0.000779710584337062 0.863520712922409 0.000346136851394688 0.015011789041489 0 83 17 5.6672 10.1531
2.18051181252397 1.78530245778653 0.204941868173594 0.00205458996334746 0.00117255580073842 0.00116776243758345 0.833137695608126 0.000345603117739548 0.0203691791606356 0.000363361919960391 80 20 5.6594 10.3141
2.1383495726536 1.82525973306668 0.167210614375742 0.00206179054442968 0 0.000390618338273681 0.878058062727333 0.000346814329375907 0.0200548945816426 0.000364635369657674 84 16 5.6555 10.3946
2.14791701209707 1.81928561201727 0.174424844231217 0.00273598250866811 0.00058553511013534 0 0.865031023289797 0.000690330505316008 0.0180403489673849 0.000362901555199349 83 17 5.6516 10.4751
2.57206618486112 0.0796579550795501 0.0028906116892229 1.69962160293895 0.000633970674090712 0.0378827415769739 0.0686865623877988 0.00710063024084828 0.913047476590543 0.00078584166720633 95 4 7.5729 7.5307
2.58111605777166 0.0740747333058484 0.00193422860622328 1.70147139355408 0 0.0376008969630004 0.0646661116737696 0.00487636219392474 0.911014405031184 0.000788759056607139 97 3 7.5676 7.6052
2.57901453748725 0.0769812538200496 0.000966700491846946 1.68811224222692 0 0.0346286996880691 0.0673094521849937 0.00599910853413504 0.92396708288126 0 99 1 7.5569 7.7541
2.5883647488578 0.0629840260744645 0.00290500008981752 1.65151776807593 0 0.0431474823038783 0.0749146064531757 0.00525808652051827 0.947245933253784 0 96 4 7.5516 7.8286
2.58745490526539 0.0557287048798455 0.00193002793755169 1.62137999510681 0 0.0442642684479583 0.0778574233645696 0.00636293253029009 0.983123997101774 0.000787046065987589 98 2 7.5463 7.9031
2.59303367288563 0.0513135868741167 0.00194053451342663 1.62946062236898 0.000638398774640034 0.0436575130449844 0.0793536051758336 0.00564491532269317 0.971317738131543 0.000395665271209232 97 2 7.541 7.9776
2.58825586162955 0.0598076496134759 0.00191041518391151 1.71576391897308 0.000628490090758148 0.0363034091471619 0.0855118596737308 0.00518681308943583 0.884554535710504 0 97 2 7.5356 8.052
2.58155206589294 0.0601428127203493 0.00293874478111758 1.66769028768632 0 0.0436486865812285 0.077408780371239 0.00607904552469479 0.944306431054854 0 96 4 7.5303 8.1265
2.58781573724043 0.0743388305043127 0.0019411246736581 1.65158946368521 0 0.0411268607468033 0.087422779447007 0.00602307420642447 0.919704465133972 0 98 2 0.2714 12.1085
2.5903653106097 0.0550875577354354 0.00192811936132623 1.66423528138448 0 0.0412724630866577 0.0767149459440084 0.005608800282306 0.942233691517013 0 98 2 0.2711 12.0891
2.58578204492863 0.0540795855932992 0.00193398801404829 1.65071992660524 0 0.043510232035535 0.0774828088492036 0.00562587189192957 0.962201835053634 0.000788660945527422 98 2 0.2709 12.0697
2.59974961555771 0.048340537246448 0.00193957184365052 1.63536067916415 0 0.0444831533736018 0.0771706109718356 0.00526597396799885 0.958287378684522 0.000790937975323768 98 2 0.2706 12.0502
2.5884432716158 0.0536295621973766 0.00193897009019021 1.62516639174334 0 0.0461634230149029 0.0776824094933508 0.00564036449577547 0.981406675184081 0 98 2 0.2703 12.0308
2.60427157179508 0.0411244770439731 0.000966452698889848 1.63642517887718 0 0.0464412264624416 0.0769053701133716 0.00449817809340622 0.958745289057365 0.00118232919818132 99 1 0.27 12.0114
2.58429931929493 0.0543525725906895 0.00194375054412598 1.62992015958453 0 0.0433053044472184 0.0789480556016604 0.00603122196370104 0.98466466369122 0 98 2 0.2698 11.992
2.59145838099919 0.0525322816228681 0.00194197890376657 1.6261956504243 0 0.0466592323445861 0.0772663817474373 0.00527250918140279 0.976647543236307 0 98 2 0.2695 11.9725
2.57483083751821 0.0761519159938702 0.00192728407544245 1.67166153403893 0 0.0399916879215277 0.0756166882730969 0.0100914668613577 0.927693964978777 0 98 2 0.2692 11.9531
0.00849220217169086 0.358348610046865 0.00164664868827655 0.253123228421083 0 0.0402827741694765 0.00181988740548111 0.665492964322621 5.81745030733214 0.000671486845841047 52 48 1.5779 10.8227
0.00762172928552452 0.350364825380925 0 0.244846793090913 0.00108041923276048 0.0430401008145069 0.000907413442635854 0.691028839316336 5.78781710776046 0 46 0 1.5471 10.7998
0.00675793499147743 0.353471781437444 0 0.239198969466756 0 0.0443635950196442 0 0.694383846693056 5.78394619998837 0 NA NA 1.5163 10.777
0.00675797079090554 0.353473653915892 0 0.242977082438381 0 0.0429327387396582 0 0.693752220884639 5.78185739062632 0.000667949313812609 NA NA 1.4855 10.7541
0.00677906725077378 0.357573524160064 0.00164308708897627 0.256364374606573 0.00108108851140923 0.0416312037703372 0.00272392665232032 0.671063706363021 5.80486752201092 0.000670034461311593 50 30 1.4546 10.7312
0.00673789304063868 0.357387204325991 0 0.246020828965612 0 0.0435186065011465 0 0.685990350774988 5.78792432313157 0.000665964854286431 NA NA 1.4238 10.7083
0.00760372834445809 0.361487330864632 0 0.241750283713485 0 0.0407915265865579 0.00181054064122082 0.681136719268833 5.79393164307058 0.00133607630975279 100 0 1.393 10.6855
0.00766227434744196 0.374305658963416 0 0.257568593761494 0.00108616670332104 0.0432690598193579 0.00273672174000111 0.643482402816682 5.83213469855411 0 72 0 0.8063 8.1572
0.0101585165095442 0.370190549183843 0 0.25106362879184 0 0.044458187597063 0 0.662758336042878 5.80335865473049 0 NA NA 0.8187 8.1406
0.00676217060782938 0.378601304661872 0 0.243128083277909 0.00107839392734731 0.0372314971364398 0 0.663034107623466 5.81160670916658 0 0 0 0.8434 8.1075
0.00675369030011909 0.376136368553136 0.00327387262128232 0.241565029841759 0 0.0443357300329815 0.000904576609607159 0.669821431307157 5.79019777374776 0.00267010494199721 22 78 0.8558 8.0909
0.00595905528110537 0.383305552215153 0 0.246128998643972 0 0.0411022171955625 0 0.665837327222039 5.7932080013824 0.000673126299364849 NA NA 0.8681 8.0743
0.0084584421335247 0.370881947946061 0 0.243292864697607 0.00107912481486942 0.0415555845680898 0 0.668572521879196 5.80422713838234 0 0 0 0.8805 8.0577
0.00759461214492252 0.373984245814124 0.00327245522776806 0.243975659432728 0 0.0393130554903388 0 0.66699293035962 5.80392274787869 0.000667237236058504 0 100 0.8929 8.0411
0.00763985617883994 0.376212214218475 0 0.250489510696995 0 0.0424234227820114 0 0.667774426150286 5.79093336219657 0.000671212225638371 NA NA 0.9052 8.0245
0.00675258079742009 0.374084763936794 0.00163666739317914 0.245299178828155 0 0.0414685467415852 0.000904428004896962 0.665902607232016 5.80407086590423 0.000667416573651183 36 64 0.9176 8.008
0.00763483962717148 0.372965460142064 0.00164489445769866 0.250325032002186 0 0.0431141352501395 0 0.670525888429659 5.78996873919207 0 0 100 0.93 7.9914
0.00848471368194792 0.386035166393144 0 0.250371022171016 0 0.0416846543820109 0 0.669372867284749 5.77116372775327 0.00134178944706428 NA NA 0.9423 7.9748
0.0137483979332419 0.373732486437498 0 0.253558971816226 0 0.0451268293382853 0.00184143462867445 0.648815548134965 5.81374614242415 0 100 0 0.9547 7.9582
