"SiO2_apfu" "Al2O3_apfu" "Na2O_apfu" "MgO_apfu" "K2O_apfu" "MnO_apfu" "CaO_apfu" "TiO2_apfu" "FeO_apfu" "Cr2O3_apfu" "An" "Ab" "X" "Y" "x.pos.plot" "y.pos.plot" "x.pos.mat" "y.pos.mat" "mat.id" "phase.p"
"1" 2.12854065310742 1.8326685382177 0.154002504232498 0.00148306271900264 0.000542401551343856 0.000910200541814935 0.893073664659578 0.000544609680450263 0.0200872862853943 0 85 15 -31.1688 11.1477 464 218 464 282 140964 4
"2" 2.04396402224212 1.91594209426748 0.0689145631314475 0.00140312093414509 0.000270257178653169 0.000773563870634171 0.982576967315389 0.000658493961704617 0.0174957639159123 0 93 7 -31.1635875 11.2451 464 213 464 287 143464 2
"3" 2.02992965403354 1.92798494054839 0.0556697254106349 0.00298324224835764 0.00026377353189031 0 0.995904575051975 0.000204965449544302 0.0208987834396517 0 95 5 -31.158375 11.3425 464 208 464 292 145964 2
"4" 2.06973724156649 1.88360395219297 0.095101450483666 0.00370066223938022 0.000245996540290011 0.000824603570473682 0.958448003925073 0.00105045080837476 0.0223716937138983 0 91 9 -31.1531625 11.4399 463 203 463 297 148463 2
"5" 2.06790751085249 1.89112479439686 0.0932933516231272 0.00328629313107077 0.000447967257105674 0.000793130638461696 0.953128621930262 0.00145767087746456 0.0202427581305556 0.000173987782890073 91 9 -31.14795 11.5373 463 199 463 301 150463 NA
"6" 2.0714534747143 1.88830892504551 0.100060435721586 0.00227385650507417 0 0.000313185671832009 0.950815615967021 0.000844754356607635 0.0188467077790857 0.000440380337415897 90 10 -31.137525 11.7321 462 189 462 311 155462 2
"7" 2.1618643331651 1.79858872358653 0.183790945168809 0.00268606446072017 0.00093525145989842 0.000553715270873043 0.865040892028015 0.000417878311869507 0.016908721592318 0 82 18 -31.1323125 11.8295 462 184 462 316 157962 2
"8" 2.14232424562904 1.82381249250805 0.174097889000871 0.00229490780366568 0.00079531956012272 0 0.869851664289638 0 0.0184615098652922 0.00105205582717923 83 17 -31.1271 11.9269 462 179 462 321 160462 2
"9" 2.34407963100163 1.6219877225928 0.378091495287409 0.00443513353668941 0.00255877461815253 0.000479775250564773 0.661626406740904 0.00100208442427457 0.0199885347780593 0 63 36 -22.1104 14.7328 11 39 11 461 230011 NA
"10" 2.14105607753049 1.82104831459625 0.156952687816435 0.00155499347185118 0.000167140368263413 0.000602416188968255 0.885374327213363 0.000348363500436022 0.0194049070289692 0.0000813920321800064 85 15 -22.1824375 14.7470125 15 38 15 462 230515 2
"11" 2.0607174051009 1.89999090805133 0.0881991368386551 0.0020036785758494 0.000149412104459797 0.000194433716313936 0.961230305271618 0.000260706357388824 0.0204547229710868 0 92 8 -22.254475 14.761225 18 37 18 463 231018 2
"12" 2.014439602289 1.95287228837085 0.0472004307588835 0.000627049674381413 0.000220678883281238 0.000768228662247496 1.00184826719997 0 0.0138601977851856 0.000665376481901666 95 4 -22.39855 14.78965 26 36 26 464 231526 2
"13" 2.01235209945412 1.95123068251929 0.0449871679570414 0.00100527265941905 0.0000956182911719179 0.000940370646730307 1.01136739380212 0.000225462904340292 0.0121444212717569 0 96 4 -22.4705875 14.8038625 29 35 29 465 232029 2
"14" 2.057187346958 1.90381568873555 0.0860602098962287 0.00174492520022663 0 0.000704985319396866 0.966863044448489 0 0.0175587130644532 0 92 8 -22.542625 14.818075 33 35 33 465 232033 2
"15" 2.16914128612628 1.7932459707249 0.19955437691029 0.00265114450196152 0.000570349265049994 0.00016567182891086 0.848763840030181 0.000798506816791676 0.0186084385777746 0 81 19 -22.6146625 14.8322875 36 34 36 466 232536 2
"16" 2.136911102466 1.82988636473543 0.166282125124132 0.00197263682436904 0.00118326355633455 0.000410574029178111 0.874434855665437 0.000788651363089248 0.0192201843794515 0 84 16 -22.6867 14.8465 40 33 40 467 233040 2
"17" 2.10949007363867 1.84956264627003 0.132208957009938 0.00255431903849654 0.000655392364760458 0.000193836025146816 0.91524064835005 0.000453077536585284 0.0213487501433883 0 87 13 -25.316975 8.22805 171 364 171 136 67671 2
"18" 2.04643642858819 1.91312543835558 0.0720160796415054 0.00141837715763892 0 0 0.97858186148755 0.000197450147152911 0.0210358065299935 0 93 7 -25.32435 8.1881 172 366 172 134 66672 2
"19" 2.03094337564794 1.92893173674707 0.0618702387809638 0.00153263062264589 0.000239636513025166 0.000167059821703687 0.991727889346896 0 0.0202331261452597 0 94 6 -25.331725 8.14815 172 368 172 132 65672 2
"20" 2.02398818678932 1.93638805565729 0.0525089987357012 0.00240362132185018 0 0.000365363174420404 1.0012151728434 0.0000881498054408482 0.0163036874559451 0.000481932774058341 95 5 -25.3391 8.1082 173 370 173 130 64673 2
"21" 2.0414527775206 1.91718353170341 0.0683773509353429 0.00184537591527572 0.000643816860603538 0.000340382140301231 0.984317046221713 0.0004498033524784 0.0194061525234623 0 93 6 -25.346475 8.06825 173 372 173 128 63673 NA
"22" 2.01489841971951 1.94973816549466 0.0508269278759139 0.00192410766799572 0 0.00125941720996614 0.996334158018889 0.0000981479824898655 0.0204684695192053 0 95 5 -25.35385 8.0283 173 374 173 126 62673 2
"23" 2.05046089784131 1.90475378735407 0.0806225527903798 0.00151783332941051 0.00054238616116468 0.00143253585681291 0.977647633222998 0.000642972539703025 0.0194811063218718 0 92 8 -25.361225 7.98835 174 376 174 124 61674 2
